Algoritmo,Tamanho do Array,Tempo de Execucao (ms)
Bubble Sort,100,0.327155
Bubble Sort,1000,30.4133
Bubble Sort,10000,588.083
Bubble Sort,100000,622.285
Selection Sort,100,0.100306
Selection Sort,1000,11.615
Selection Sort,10000,665.046
Selection Sort,100000,277.451
Insertion Sort,100,0.036265
Insertion Sort,1000,3.02475
Insertion Sort,10000,303.893
Insertion Sort,100000,217.291
Shell Sort,100,0.025895
Shell Sort,1000,0.390455
Shell Sort,10000,6.0984
Shell Sort,100000,75.5806
Quick Sort,100,0.064394
Quick Sort,1000,1.05185
Quick Sort,10000,51.4289
Quick Sort,100000,419.192
Merge Sort,100,0.092986
Merge Sort,1000,1.04118
Merge Sort,10000,11.9
Merge Sort,100000,136.438
